name,f_year,l_year,tournament_duration,total_matches,minutes,surface,best_of,t_month,most_wins,df,ace,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
Davis Cup G2 R1: PAK vs KUW,2015,2015,1,4,0.0,Clay,5,3,Mohammad Ghareeb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PAK vs MAS,1984,1984,1,4,0.0,Hard,5,1,Hamed Ul Haq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PAR vs AHO,2010,2010,1,4,0.0,Clay,5,3,Diego Galeano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PAR vs BAH,2009,2009,1,4,0.0,Clay,5,3,Ramon Delgado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PAR vs CUB,2007,2007,1,4,0.0,Clay,5,2,Gustavo Ramirez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PAR vs ESA,2008,2008,1,4,0.0,Clay,5,2,Ramon Delgado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PAR vs HAI,2003,2003,1,4,0.0,Clay,5,2,Francisco Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PAR vs VEN,2016,2016,1,4,196.5,Hard,5,3,Ricardo Rodriguez,33.5,27.5,557.0,356.5,260.0,102.5,88.5,23.0,40.0
Davis Cup G2 R1: PER vs AHO,2011,2011,1,4,0.0,Clay,5,3,Ivan Miranda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PER vs ESA,2010,2019,10,8,0.0,Hard,3,4,Marcelo Arevalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PER vs HAI,2013,2013,1,4,0.0,Clay,5,2,Duilio Beretta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PHI vs CHN,2004,2004,1,4,0.0,Clay,5,2,Hao Lu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PHI vs INA,2018,2018,1,4,90.25,Hard,3,2,Alberto Lim,23.5,26.0,383.5,243.0,157.5,73.5,56.0,22.0,35.5
Davis Cup G2 R1: PHI vs KOR,2005,2005,1,4,0.0,Clay,5,3,Woong Sun Jun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PHI vs KUW,2016,2016,1,4,86.333,Clay,5,3,Jeson Patrombon,33.0,28.0,567.0,338.0,223.5,116.0,80.5,35.5,56.5
Davis Cup G2 R1: PHI vs MAS,1983,1983,1,4,0.0,Clay,5,1,Ody Gabriel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PHI vs PAK,2007,2007,1,4,0.0,Hard,5,2,Cecil Mamiit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PHI vs POC,2012,2012,1,4,0.0,Hard,5,2,Jeson Patrombon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PHI vs SRI,2015,2015,1,4,0.0,Clay,5,3,Patrick Tierro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PHI vs SYR,2013,2013,1,4,0.0,Clay,5,2,Johnny Arcilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POC vs LIB,2005,2005,1,4,0.0,Hard,5,3,Michael Leong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POC vs THA,2011,2011,1,4,0.0,Hard,5,3,Danai Udomchoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POL vs EST,2000,2000,1,4,0.0,Clay,5,4,Rene Busch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POL vs GHA,1997,1997,1,4,0.0,Clay,5,5,Filip Aniola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POL vs ISR,2001,2001,1,4,0.0,Clay,5,4,Noam Okun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POL vs NGR,1996,1996,1,4,0.0,Clay,5,5,Bartlomiej Dabrowski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POR vs BEN,2013,2013,1,4,0.0,Clay,5,2,Joao Sousa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POR vs DEN,2010,2010,1,4,0.0,Clay,5,3,Rui Machado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POR vs GEO,1998,1998,1,4,0.0,Clay,5,5,Nuno Marques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POR vs MAR,2015,2015,1,4,0.0,Hard,5,3,Joao Sousa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POR vs MON,2003,2003,1,4,0.0,Clay,5,4,Bernardo Mota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: POR vs TUN,2008,2008,1,4,0.0,Clay,5,4,Rui Machado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PUR vs BAH,2004,2004,1,4,0.0,Hard,5,2,Mark Merklein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: PUR vs ESA,2015,2016,2,8,85.25,Hard,3,3,Marcelo Arevalo,23.0,23.0,421.5,246.5,161.5,97.0,69.5,23.5,42.0
Davis Cup G2 R1: PUR vs MEX,2018,2018,1,4,81.25,Hard,3,2,Manuel Sanchez,14.5,17.0,357.5,234.5,156.5,64.5,59.5,15.5,31.0
Davis Cup G2 R1: PUR vs PAR,2011,2011,1,4,0.0,Hard,5,3,Daniel Alejandro Lopez Cassaccia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: ROU vs LUX,2018,2018,1,4,75.75,Hard,3,2,Marius Copil,10.0,31.5,367.0,237.0,169.0,65.5,57.5,24.0,35.0
Davis Cup G2 R1: ROU vs ZIM,2019,2019,1,4,0.0,Hard,3,4,Benjamin Lock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: RSA vs BUL,2019,2019,1,4,0.0,Hard,3,9,Lloyd Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: RSA vs CIV,1993,1993,1,4,0.0,Hard,5,4,Wayne Ferreira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: RSA vs LUX,2016,2016,1,4,93.5,Hard,5,3,Tucker Vorster,20.5,25.5,426.5,240.5,174.5,105.0,67.0,29.5,40.0
Davis Cup G2 R1: RSA vs POL,2003,2003,1,4,0.0,Hard,5,4,Rik De Voest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: RSA vs YUG,2001,2001,1,4,0.0,Hard,5,4,Wayne Ferreira,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SEN vs EGY,1993,1993,1,4,0.0,Hard,5,4,Fadel Berthe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SEN vs POL,1998,1998,1,4,0.0,Hard,5,5,Yahiya Doumbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SIN vs KUW,1991,1991,1,4,0.0,Hard,5,5,Tung Yi Kho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SIN vs TPE,1986,1990,5,6,0.0,Grass,5,3,Chung Hsing Liu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SLO vs CIV,2005,2005,1,4,0.0,Hard,5,3,Grega Zemlja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SLO vs GHA,2002,2002,1,4,0.0,Clay,5,5,Iztok Bozic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SLO vs GRE,1994,1994,1,4,0.0,Clay,5,4,Iztok Bozic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SLO vs POL,2004,2018,15,8,80.5,Hard,3,2,Aljaz Bedene,5.0,10.5,178.0,104.5,79.0,43.0,30.0,9.0,13.0
Davis Cup G2 R1: SRI vs HKG,1983,1983,1,4,0.0,Clay,5,1,Frank Sebaratnam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SRI vs MAS,1989,1989,1,4,0.0,Clay,5,2,Umesha Wallooppillai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SRI vs NZL,2010,2010,1,4,0.0,Clay,5,3,Jose Rubin Statham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SRI vs PAK,2013,2013,1,4,0.0,Clay,3,2,Harshana Godamanna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SRI vs SYR,1991,1991,1,4,0.0,Clay,5,5,Umesha Wallooppillai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SRI vs THA,2012,2016,5,8,166.5,Clay,5,2,Pruchya Isarow,21.0,60.5,724.5,445.5,317.0,146.5,114.0,48.0,71.0
Davis Cup G2 R1: SVK vs GBR,1995,1995,1,4,0.0,Clay,5,4,Jan Kroslak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: SWE vs TUN,2017,2017,1,4,180.75,Hard,5,2,Malek Jaziri,40.5,35.0,743.5,423.0,307.0,169.5,112.5,48.5,70.5
Davis Cup G2 R1: THA vs BAN,1986,1986,1,4,0.0,Hard,5,3,Worapol Thongkamcho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: THA vs HKG,2014,2014,1,4,0.0,Hard,5,2,Phillip King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: THA vs PHI,2019,2019,1,3,0.0,Hard,3,4,Palaphoom Kovapitukted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: THA vs POC,2010,2010,1,4,0.0,Hard,5,3,Peerakiat Siriluethaiwattana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: THA vs SRI,2018,2018,1,4,80.5,Clay,3,2,Wishaya Trongcharoenchaikul,25.0,27.0,335.5,224.0,156.0,52.0,58.5,10.5,25.5
Davis Cup G2 R1: TOG vs CIV,1992,1992,1,4,0.0,Hard,5,5,Goudjo Gbedey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TPE vs HKG,1984,2019,36,7,0.0,Hard,3,9,Chang Rung Wu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TPE vs LIB,2015,2015,1,4,0.0,Hard,5,3,Jui Chen Hung,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TPE vs MAS,2016,2016,1,4,90.5,Hard,5,3,Liang Chi Huang,27.5,21.5,459.5,291.5,200.5,81.5,79.5,20.0,44.5
Davis Cup G2 R1: TPE vs SIN,1987,1987,1,4,0.0,Hard,5,3,Chung Hsing Liu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TPE vs SRI,1985,1985,1,4,0.0,Hard,5,1,Huang Jung Hsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TRI vs ECU,1991,1991,1,4,0.0,Hard,5,2,Luis Adrian Morejon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TRI vs HAI,1990,1990,1,4,0.0,Hard,5,2,Ronald Agenor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TUN vs ALG,1989,1989,1,4,0.0,Hard,5,2,Moncef Zehar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TUN vs FIN,2018,2018,1,4,74.667,Hard,3,2,Malek Jaziri,15.0,13.5,259.5,152.0,109.0,46.0,40.0,8.0,17.5
Davis Cup G2 R1: TUN vs LAT,2013,2013,1,2,0.0,Hard,5,2,Andis Juska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TUN vs POR,2004,2004,1,4,0.0,Hard,5,4,Malek Jaziri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TUR vs BIH,2012,2012,1,3,0.0,Hard,5,2,Amer Delic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TUR vs DEN,2000,2000,1,4,0.0,Hard,5,4,Kristian Pless,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TUR vs GRE,2001,2001,1,4,0.0,Hard,5,4,Solon Peppas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TUR vs RSA,2015,2015,1,4,0.0,Hard,5,3,Marsel Ilhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: TUR vs ZIM,2018,2018,1,3,104.0,Hard,3,2,Benjamin Lock,6.5,11.5,214.5,121.5,90.0,47.0,36.0,3.5,10.5
Davis Cup G2 R1: UKR vs BUL,2002,2002,1,4,0.0,Clay,5,5,Orest Tereshchuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: UKR vs EGY,2008,2008,1,4,0.0,Hard,5,4,Sergiy Stakhovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: UKR vs MON,2012,2012,1,4,0.0,Hard,5,2,Illya Marchenko,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: URU vs DOM,2003,2003,1,4,0.0,Clay,5,2,Jhonson Garcia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: URU vs JAM,2007,2007,1,4,0.0,Clay,5,2,Marcel Felder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: URU vs PER,2016,2016,1,4,0.0,Clay,5,3,Jorge Brian Panta Herreros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: VEN vs AHO,2009,2009,1,4,0.0,Hard,5,3,Piero Luisi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: VEN vs CRC,2015,2015,1,4,0.0,Hard,5,3,Ricardo Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: VEN vs GUA,2013,2018,6,7,104.333,Hard,3,2,Ricardo Rodriguez,15.0,21.0,332.0,177.0,122.5,78.5,50.0,23.0,35.5
Davis Cup G2 R1: VEN vs HAI,2011,2011,1,4,0.0,Hard,5,3,Olivier Sajous,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: VEN vs JAM,1990,1990,1,4,0.0,Clay,5,2,Carlos Claverie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: VEN vs PUR,2012,2012,1,4,0.0,Hard,5,2,Ricardo Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: VIE vs INA,2016,2016,1,4,125.5,Hard,5,3,Christopher Rungkat,31.5,24.5,546.5,335.5,212.0,105.0,84.5,28.5,55.5
Davis Cup G2 R1: VIE vs PAK,2014,2014,1,4,0.0,Hard,5,2,Aqeel Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: YUG vs RSA,2002,2002,1,4,0.0,Clay,5,5,Vladimir Pavicevic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: YUG vs SVK,1996,1996,1,4,0.0,Clay,5,5,Karol Kucera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: ZAM vs CMR,1991,1991,1,4,0.0,Clay,5,2,Fred Kangwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: ZIM vs BIH,2015,2015,1,4,0.0,Hard,5,3,Mirza Basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: ZIM vs FIN,2016,2016,1,4,107.25,Hard,5,3,Harri Heliovaara,15.0,45.5,490.0,312.5,203.5,86.5,77.5,25.5,47.0
Davis Cup G2 R1: ZIM vs GHA,1992,1992,1,4,0.0,Hard,5,5,Byron Black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R1: ZIM vs NOR,2006,2006,1,4,0.0,Hard,5,4,Stian Boretti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: AHO vs DOM,2006,2006,1,4,0.0,Hard,5,4,Jean Julien Rojer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: BAH vs PAR,2008,2008,1,4,0.0,Hard,5,4,Ramon Delgado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: BAR vs ESA,2014,2014,1,4,0.0,Hard,5,4,Darian King,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: BAR vs GUA,2017,2017,1,4,120.75,Hard,3,4,Darian King,17.5,26.0,554.0,361.0,250.0,93.0,82.0,33.0,50.5
Davis Cup G2 R2: BIH vs EST,2011,2011,1,4,0.0,Hard,5,7,Amer Delic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: BIH vs MDA,2013,2013,1,3,0.0,Clay,5,4,Radu Albot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: BLR vs BIH,2012,2012,1,4,0.0,Hard,5,4,Uladzimir Ignatik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: BRA vs AHO,2005,2005,1,4,0.0,Clay,5,7,Ricardo Mello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: BUL vs HUN,2006,2006,1,4,0.0,Clay,5,7,Kornel Bardoczky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: BUL vs LAT,2009,2009,1,4,0.0,Clay,5,7,Andis Juska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: CHI vs MEX,2015,2015,1,4,0.0,Clay,5,7,Juan Carlos Saez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: CHN vs KUW,2004,2004,1,4,0.0,Hard,5,4,Ben Qiang Zhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: CHN vs TPE,2003,2003,1,4,0.0,Hard,5,4,Ben Qiang Zhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: COL vs PAR,2006,2006,1,4,0.0,Clay,5,4,Alejandro Falla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: CYP vs IRL,2009,2009,1,4,0.0,Hard,5,7,Marcos Baghdatis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: DEN vs LAT,2011,2011,1,4,0.0,Clay,5,7,Andis Juska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: DEN vs LUX,2014,2014,1,4,0.0,Hard,5,4,Frederik Nielsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: DEN vs SLO,2003,2003,1,4,0.0,Hard,5,7,Kenneth Carlsen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: DOM vs CUB,2003,2003,1,4,0.0,Clay,5,4,Victor Estrella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: DOM vs PAR,2009,2009,1,4,0.0,Clay,5,7,Jose Hernandez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: DOM vs URU,2004,2004,1,4,0.0,Hard,5,4,Victor Estrella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: ECU vs DOM,2008,2008,1,4,0.0,Clay,5,4,Julio Cesar Campozano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: EGY vs DEN,2018,2018,1,3,106.333,Hard,3,4,Karim Mohamed Maamoun,12.0,14.5,358.0,205.0,146.0,80.5,52.5,19.5,30.5
Davis Cup G2 R2: ESA vs MEX,2013,2013,1,4,0.0,Hard,5,4,Marcelo Arevalo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: ESA vs VEN,2016,2017,2,8,114.429,Hard,5,7,Marcelo Arevalo,34.0,31.0,919.5,577.5,389.5,179.5,153.0,48.0,88.5
Davis Cup G2 R2: EST vs BIH,2010,2010,1,4,0.0,Clay,5,7,Aldin Setkic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: FIN vs ALG,2006,2006,1,4,0.0,Clay,5,7,Jarkko Nieminen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: FIN vs BIH,2014,2014,1,4,0.0,Hard,5,4,Mirza Basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: FIN vs BUL,2005,2005,1,4,0.0,Clay,5,7,Jarkko Nieminen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: FIN vs LAT,2007,2007,1,4,0.0,Clay,5,7,Ernests Gulbis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: FIN vs LTU,2018,2018,1,4,91.25,Hard,3,4,Ricardas Berankis,14.0,40.0,441.0,282.5,212.0,79.0,69.0,25.5,35.0
Davis Cup G2 R2: FIN vs MON,2009,2009,1,4,0.0,Clay,5,7,Henri Kontinen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: GBR vs LUX,2011,2011,1,4,0.0,Hard,5,7,Andy Murray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: GRE vs IRL,2003,2003,1,4,0.0,Clay,5,7,Konstantinos Economidis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: GRE vs POL,2007,2007,1,4,0.0,Clay,5,7,Michal Przysiezny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: HKG vs LBN,2018,2018,1,3,78.0,Hard,3,4,Benjamin Hassan,16.5,15.0,300.0,177.0,129.0,73.0,49.5,18.0,23.5
Davis Cup G2 R2: HUN vs BIH,2015,2015,1,4,0.0,Clay,5,7,Marton Fucsovics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: HUN vs BLR,2011,2011,1,4,0.0,Clay,5,7,Attila Balazs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: HUN vs MON,2007,2007,1,4,0.0,Clay,5,7,Benjamin Balleret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: HUN vs NOR,2004,2004,1,4,0.0,Clay,5,7,Jan Frode Andersen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: INA vs CHN,2008,2008,1,4,0.0,Hard,5,4,Yan Bai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: INA vs HKG,2006,2006,1,4,0.0,Hard,5,4,Prima Simpatiaji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: INA vs PAK,2015,2015,1,3,0.0,Hard,5,7,Aqeel Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: INA vs THA,2010,2012,3,8,0.0,Hard,5,7,Christopher Rungkat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: IRL vs FIN,2013,2013,1,4,0.0,Hard,5,4,Harri Heliovaara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: IRL vs UKR,2008,2008,1,4,0.0,Grass,5,7,Sergiy Stakhovsky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: ITA vs BUL,2004,2004,1,4,0.0,Clay,5,7,Filippo Volandri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: KAZ vs NZL,2006,2006,1,4,0.0,Hard,5,4,Alexey Kedryuk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: KOR vs LIB,2004,2004,1,4,0.0,Hard,5,4,Young Jun Kim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: KOR vs PAK,2011,2011,1,3,0.0,Hard,5,7,Kyu Tae Im,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: KOR vs POC,2005,2005,1,4,0.0,Hard,5,7,Sun Yong Kim Jr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: KUW vs INA,2007,2007,1,4,0.0,Hard,5,4,Mohammad Ghareeb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: KUW vs NZL,2008,2008,1,4,0.0,Hard,5,4,Jose Rubin Statham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup G2 R2: LAT vs BLR,2016,2016,1,4,99.25,Hard,5,7,Ilya Ivashka,20.0,31.0,472.5,290.0,216.0,94.5,76.0,22.0,33.5
Davis Cup G2 R2: LIB vs HKG,2003,2003,1,3,0.0,Hard,5,6,Wing Luen Wong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
