name,f_year,l_year,tournament_duration,total_matches,minutes,surface,best_of,t_month,most_wins,df,ace,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
Davis Cup AME F: CAN vs NZL,1970,1970,1,4,0.0,Clay,5,6,Brian Fairlie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: CAN vs PAR,1982,1982,1,4,0.0,Hard,5,5,Francisco Gonzalez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: CHI vs ARG,1986,1986,1,4,0.0,Clay,5,10,Horacio De La Pena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: CHI vs BRA,1984,1984,1,4,0.0,Clay,5,9,Hans Gildemeister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: COL vs VEN,1981,1981,1,4,0.0,Clay,5,2,Carlos Behar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: ECU vs BRA,1983,1983,1,4,0.0,Clay,5,9,Ricardo Ycaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: MEX vs AUS,1969,1969,1,4,0.0,Clay,5,5,Rafael Osuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: MEX vs BRA,1971,1971,1,4,0.0,Clay,5,7,Thomaz Koch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: MEX vs NZL,1971,1971,1,4,0.0,Clay,5,6,Onny Parun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: MEX vs USA,1972,1980,9,12,0.0,Clay,5,2,Harold Solomon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: USA vs COL,1979,1979,1,4,0.0,Hard,5,3,John McEnroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME F: USA vs MEX,1968,1968,1,4,0.0,Hard,5,5,Arthur Ashe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: ARG vs ECU,1976,1976,1,4,0.0,Clay,5,11,Ricardo Cano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: BOL vs PER,1976,1976,1,4,0.0,Clay,5,10,Ramiro Gonzalo Benavides Saravia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: CAN vs MEX,1979,1979,1,4,0.0,Hard,5,10,Marcello Lara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: CAR vs CAN,1973,1979,7,8,0.0,Hard,5,10,Josef Brabenec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: CAR vs USA,1974,1974,1,4,0.0,Clay,5,10,Tom Gorman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: ECU vs ARG,1975,1975,1,4,0.0,Clay,5,10,Julian Ganzabal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: MEX vs CAN,1973,1978,6,12,0.0,Clay,5,10,Marcello Lara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: MEX vs CAR,1975,1975,1,4,0.0,Clay,5,11,Luis Baraldi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: URU vs ECU,1976,1976,1,4,0.0,Clay,5,10,Ricardo Ycaza,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: USA vs MEX,1975,1975,1,4,0.0,Hard,5,1,Raul Ramirez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME PR: USA vs VEN,1975,1975,1,4,0.0,Hard,5,10,Jimmy Connors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: ARG vs BRA,1975,1975,1,4,0.0,Clay,5,12,Lito Alvarez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: ARG vs URU,1986,1986,1,4,0.0,Clay,5,3,Horacio De La Pena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: BRA vs ARG,1976,1976,1,4,0.0,Clay,5,12,Guillermo Vilas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: BRA vs PER,1984,1984,1,4,0.0,Clay,5,3,Marcos Hocevar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: CAN vs VEN,1983,1983,1,4,0.0,Hard,5,3,Rejean Genois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
